"Question","Answer"
"Today","آج (aaj)"
"These days","آج کل (aaj kal)"
"Nearby","آس پاس (aas paas)"
"Test, examination","امتحان (imtihaan)"
"To play (an instrument); to make ring","بجانا (bajana)"
"Ruined","برباد (barbaad)"
"To ruin, to waste (e.g. Time)","برباد کرنا (barbaad karna)"
"Seated","بیٹھا (betha)"
"Flower","پھول (phool)"
"Cart","ٹھیلا (theela)"
"To want","چاہنا (chaahna)"
"To climb","چڑھنا (chadhna)"
"Walk, stroll","چہل قدمی (chehal qadmi)"
"To buy","خریدنا (khareedna)"
"Journey","سفر (safar)"
"Stair","سیڑھی (seerhi)"
"Perhaps, maybe","شاید (shaayad)"
"Noise, commotion","شور (shore)"
"To make a lot of noise","شور مچانا (shore machana)"
"Standing","کھڑا (khada)"
"To sing; song","گانا (gaana)"
"Help","مدد (madad)"
"Famous","مشہور (mashhoor)"
"Busy","مصروف (masroof)"
"North Indian Muslim Food","مغلئی کھانا (mughlai khana)"
"Guest","مہمان (mehmaan)"
"To dance","ناچنا (naachna)"
"Use","استعمال (istimaal)"
"To use","استعمال کرنا (istimaal karna)"
"Wait, act of waiting","انتظار (intezar)"
"To wait for X","انتظار کرنا (intezar karna)"
"Matter, a piece of speech","بات (baat)"
"To talk to X (about Y)","بات کرنا (baat karna)"
"Closed","بند (band)"
"To close, to stop","بند کرنا (band karna)"
"Trust","بھروسہ (bharosa)"
"To Trust X; have faith in X","بھروسہ کرنا (bharosa karna)"
"Address, whereabouts","پتہ (pata)"
"To find out (about X)","پتہ کرنا (pata karna)"
"Worried, distressed","پریشان (pareshan)"
"To bother","پریشان کرنا (pareshan karna)"
"Study","پڑھائی (padhai)"
"To study","پڑھائی کرنا (padhai karna)"
"Completed, complete","پورا (poora)"
"To complete","پورا کرنا (poora karna)"
"Love, affection","پیار (pyar)"
"To love X","پیار کرنا (pyar karna)"
"End","ختم (khatam)"
"To finish (e.g. ‘the teacher is finishing class’)","ختم کرنا (khatam karna)"
"To finish (e.g. ‘Class is finishing/ending’)","ختم ہونا (khatam hona)"
"Mention","ذکر (zikr)"
"To mention X (to, se)","ذکر کرنا (zikr karna)"
"Beginning","شروع (shuru)"
"To start, to begin (e.g. the teacher is starting class)","شروع کرنا (shuru karna)"
"To start, to begin (e.g. Class is starting)","شروع ہونا (shuru hona)"
"Clean, clear","صاف (saaf)"
"To clean","صاف کرنا (saaf karna)"
"Cleaning","صفائی (safai)"
"To clean X","صفائی کرنا (safai karna)"
"Thought, preoccupation","فکر (fikr)"
"To worry (about X)","فکر کرنا (fikr karna)"
"Less, fewer, little, few","کم (kam)"
"To lower, to lessen, to decrease","کم کرنا (kam karna)"
"Effort","کوشش (koshish)"
"To try to V","کوشش کرنا (koshish karna)"
"Help","مدد (madad)"
"To help X","مدد کرنا (madad karna)"
"Excused; forgiven","معاف (maaf)"
"To excuse, to forgive","معاف کرنا (maaf karna)"
"Hatred","نفرت (nafrat)"
"To hate X","نفرت کرنا (nafrat karna)"
"Certainty","یقین (yaqeen)"
"To believe","یقین کرنا (yaqeen karna)"
"Question","Answer"
"آج (aaj)","Today"
"آج کل (aaj kal)","These days"
"آس پاس (aas paas)","Nearby"
"امتحان (imtihaan)","Test, examination"
"بجانا (bajana)","To play (an instrument); to make ring"
"برباد (barbaad)","Ruined"
"برباد کرنا (barbaad karna)","To ruin, to waste (e.g. Time)"
"بیٹھا (betha)","Seated"
"پھول (phool)","Flower"
"ٹھیلا (theela)","Cart"
